wav_id,성별
5e258fd1305bcf3ad153a6a4,male
5e258fe2305bcf3ad153a6a5,male
5e258ff5305bcf3ad153a6a6,male
5e25902f305bcf3ad153a6a9,male
5e27f90b5807b852d9e0157b,male
5e27fa1c5807b852d9e01586,male
5e27fb575807b852d9e01595,male
5e2840225807b852d9e01618,male
5e2840415807b852d9e01619,male
5e28405b5807b852d9e0161a,male
5e2841675807b852d9e0161e,male
5e2841be5807b852d9e01622,male
5e2842de5807b852d9e0162b,male
5e2843095807b852d9e0162e,male
5e2843255807b852d9e0162f,male
5e28447c5807b852d9e0163a,male
5e2844915807b852d9e0163b,male
5e2845945807b852d9e01643,male
5e2845b55807b852d9e01645,male
5e2846b45807b852d9e0164d,male
5e2846c55807b852d9e0164e,male
5e28482c5807b852d9e01659,male
5e28483f5807b852d9e0165a,male
5e2873255807b852d9e016fb,male
5e2873465807b852d9e016fc,male
5e2873785807b852d9e016fe,male
5e2875925807b852d9e01712,male
5e2875aa5807b852d9e01713,male
5e2875c35807b852d9e01714,male
5e2876435807b852d9e01718,male
5e28765a5807b852d9e01719,male
5e2876795807b852d9e0171a,male
5e28769b5807b852d9e0171b,male
5e2876b55807b852d9e0171c,male
5e28bb4a5807b852d9e01750,male
5e2970845807b852d9e0185d,male
5e29758c5807b852d9e0188f,male
5e2979c25807b852d9e018d5,female
5e297cff5807b852d9e018ff,male
5e297d615807b852d9e01902,male
5e29813c5807b852d9e01944,female
5e29841e5807b852d9e01987,female
5e2984895807b852d9e01990,female
5e2985665807b852d9e01999,female
5e2985815807b852d9e0199c,female
5e29859a5807b852d9e0199e,female
5e2988fc5807b852d9e019da,female
5e298b9f5807b852d9e01a0f,female
5e298bc45807b852d9e01a10,female
5e298bdc5807b852d9e01a11,female
5e298c085807b852d9e01a12,female
5e298fd15807b852d9e01a36,male
5e2990af5807b852d9e01a4f,male
5e2990c85807b852d9e01a53,male
5e2990e85807b852d9e01a56,male
5e2991605807b852d9e01a60,male
5e2991785807b852d9e01a62,female
5e29919c5807b852d9e01a66,male
5e2991af5807b852d9e01a68,male
5e2991df5807b852d9e01a6c,male
5e2992895807b852d9e01a7c,female
5e29ac5b5807b852d9e01c2c,female
5e29ac765807b852d9e01c2e,female
5e29ac965807b852d9e01c30,female
5e29ae755807b852d9e01c4a,female
5e29aeb55807b852d9e01c4d,female
5e29af215807b852d9e01c55,female
5e29af4f5807b852d9e01c5a,female
5e29b07d5807b852d9e01c67,female
5e29b0d55807b852d9e01c75,female
5e29b2135807b852d9e01c7e,female
5e29b2345807b852d9e01c7f,female
5e29b2545807b852d9e01c80,female
5e29b2805807b852d9e01c81,female
5e29b2ac5807b852d9e01c85,female
5e29b2d15807b852d9e01c8c,female
5e29b2f95807b852d9e01c93,female
