파일명,성별,평균 피치 (Hz),카테고리
5f4141e29dd513131eacee2f.wav,female,218.19610780003265,낮음
5f4141f59dd513131eacee30.wav,female,218.82822211583928,낮음
5f4142119dd513131eacee31.wav,female,213.3242437317866,낮음
5f4142279dd513131eacee32.wav,female,197.4998174673538,낮음
5f3c9ed98a3c1005aa97c4bd.wav,female,169.3303415478424,낮음
5f3c9ef78a3c1005aa97c4be.wav,female,162.0112755499155,낮음
5f3c9f658a3c1005aa97c4c7.wav,female,166.24140236551546,낮음
5f3c9f808a3c1005aa97c4c8.wav,female,176.84519236306403,낮음
5f3c9f9c8a3c1005aa97c4cb.wav,female,192.33322621325104,낮음
5f3c9fcc8a3c1005aa97c4ce.wav,female,173.82530980340115,낮음
5f3ca01b8a3c1005aa97c4d3.wav,female,148.20444698370304,낮음
5f3ca06b8a3c1005aa97c4da.wav,female,165.4043441533398,낮음
5f3ca09d8a3c1005aa97c4df.wav,female,179.70521019478878,낮음
5f3ca4778a3c1005aa97c50d.wav,female,165.8744311424351,낮음
5f3ca4a28a3c1005aa97c510.wav,female,147.7989640195439,낮음
5f3ca4cf8a3c1005aa97c515.wav,female,153.4624289302165,낮음
5f4142459dd513131eacee33.wav,female,169.95009529998293,낮음
5f41426d9dd513131eacee35.wav,female,154.55721616708007,낮음
5f4142819dd513131eacee36.wav,female,188.7949357771859,낮음
5f41429f9dd513131eacee37.wav,female,186.88981397080474,낮음
5f4142c09dd513131eacee38.wav,female,196.01248350271263,낮음
5f4142e09dd513131eacee39.wav,female,181.61543528902132,낮음
5f4143a89dd513131eacee3b.wav,female,188.7372386251255,낮음
5f4143c09dd513131eacee3c.wav,female,208.03070832957252,낮음
5f4143e09dd513131eacee3d.wav,female,164.41962563850973,낮음
5f4143fa9dd513131eacee3e.wav,female,168.38647784461662,낮음
5f4144189dd513131eacee3f.wav,female,142.6577211246586,낮음
5f41443c9dd513131eacee41.wav,female,164.6069113049512,낮음
5f4144529dd513131eacee42.wav,female,201.4047748008926,낮음
5f41446c9dd513131eacee43.wav,female,188.9783559470685,낮음
5f4144ad9dd513131eacee45.wav,female,155.36614012656048,낮음
5f4144c69dd513131eacee46.wav,female,176.35252604092153,낮음
5f4144f69dd513131eacee48.wav,female,169.9315463168332,낮음
5f41450c9dd513131eacee49.wav,female,207.6704972234514,낮음
5f4145279dd513131eacee4a.wav,female,176.28440646669966,낮음
5f4145429dd513131eacee4b.wav,female,151.78251286978045,낮음
5f41455d9dd513131eacee4c.wav,female,207.54527055304436,낮음
5f4145859dd513131eacee4e.wav,female,178.98668927374467,낮음
5f4145989dd513131eacee4f.wav,female,211.26335872852505,낮음
5f4145b89dd513131eacee50.wav,female,190.9400675381701,낮음
5f4145f69dd513131eacee52.wav,female,175.8608620840019,낮음
5f41461a9dd513131eacee53.wav,female,201.98190976875395,낮음
5f41463e9dd513131eacee55.wav,female,212.0845033361447,낮음
