파일명,성별,평균 피치 (Hz),카테고리
5ed10dbc2880d70f286121c3.wav,female,259.71108263829973,중간
5ecb60ef9aa8ea0eec53edb1.wav,female,198.62543360173703,낮음
5f052858b140144dfcfef768.wav,female,165.54931126266638,낮음
5f0e72c4b140144dfcff3fa5.wav,female,154.71068462061527,낮음
5ed10ddd7e21a10eee2537ce.wav,female,205.67016191865383,낮음
5f0e72e1b140144dfcff3fa6.wav,female,169.2751629257114,낮음
5ed10e039aa8ea0eec53f0ee.wav,female,241.16970409661982,중간
5f01ce9510dbee4d2f789ad8.wav,female,159.36990690452194,낮음
5f0e72fbb140144dfcff3fa7.wav,female,158.30007676658172,낮음
5ed10e31c90a530ee56b5898.wav,female,241.20137642893684,중간
5ecb613b79bf120ed2b80ee4.wav,female,210.5120112101859,낮음
5f07bffeb140144dfcff09a8.wav,female,131.98695910081102,낮음
5f0e7342b140144dfcff3fa9.wav,female,138.3645749501194,낮음
5f0fa5e6b140144dfcff4734.wav,female,167.380395882432,낮음
5f07c011b140144dfcff09aa.wav,female,161.42340601756075,낮음
5f0e7377b140144dfcff3fac.wav,female,164.66008779731877,낮음
5eff3d35704f492ee125534c.wav,female,250.75138433518015,중간
5f07c028b140144dfcff09ad.wav,female,164.18399585707581,낮음
5f0e738eb140144dfcff3fad.wav,female,167.60264670408105,낮음
5f0e73a6b140144dfcff3fae.wav,female,147.6347822183068,낮음
5ed979dc7e21a10eee253e90.wav,female,160.31980672652034,낮음
5f01cf40b140144dfcfecec6.wav,female,152.77598582707233,낮음
5f07c069b140144dfcff09b3.wav,female,150.6488944226515,낮음
5f0c79c3b140144dfcff2f76.wav,female,146.5060816259274,낮음
5f0e73c3b140144dfcff3faf.wav,female,153.92374087202606,낮음
5f07c099b140144dfcff09bc.wav,female,135.4383525421231,낮음
5f0c79dab140144dfcff2f77.wav,female,210.3326040389941,낮음
5f0e73f8b140144dfcff3fb1.wav,female,164.8729166060913,낮음
