wav_id,성별,source
5e258fd1305bcf3ad153a6a4,male,four
5e258fe2305bcf3ad153a6a5,male,four
5e258ff5305bcf3ad153a6a6,male,four
5e25902f305bcf3ad153a6a9,male,four
5e27f90b5807b852d9e0157b,male,four
5e27fa1c5807b852d9e01586,male,four
5e27fb575807b852d9e01595,male,four
5e2840225807b852d9e01618,male,four
5e2840415807b852d9e01619,male,four
5e28405b5807b852d9e0161a,male,four
5e2841675807b852d9e0161e,male,four
5e2841be5807b852d9e01622,male,four
5e2842de5807b852d9e0162b,male,four
5e2843095807b852d9e0162e,male,four
5e2843255807b852d9e0162f,male,four
5e28447c5807b852d9e0163a,male,four
5e2844915807b852d9e0163b,male,four
5e2845945807b852d9e01643,male,four
5e2845b55807b852d9e01645,male,four
5e2846b45807b852d9e0164d,male,four
5e2846c55807b852d9e0164e,male,four
5e28482c5807b852d9e01659,male,four
5e28483f5807b852d9e0165a,male,four
5e2873255807b852d9e016fb,male,four
5e2873465807b852d9e016fc,male,four
5e2873785807b852d9e016fe,male,four
5e2875925807b852d9e01712,male,four
5e2875aa5807b852d9e01713,male,four
5e2875c35807b852d9e01714,male,four
5e2876435807b852d9e01718,male,four
5e28765a5807b852d9e01719,male,four
5e2876795807b852d9e0171a,male,four
5e28769b5807b852d9e0171b,male,four
5e2876b55807b852d9e0171c,male,four
5e28bb4a5807b852d9e01750,male,four
5e2970845807b852d9e0185d,male,four
5e29758c5807b852d9e0188f,male,four
5e2979c25807b852d9e018d5,female,four
5e297cff5807b852d9e018ff,male,four
5e297d615807b852d9e01902,male,four
5e29813c5807b852d9e01944,female,four
5e29841e5807b852d9e01987,female,four
5e2984895807b852d9e01990,female,four
5e2985665807b852d9e01999,female,four
5e2985815807b852d9e0199c,female,four
5e29859a5807b852d9e0199e,female,four
5e2988fc5807b852d9e019da,female,four
5e298b9f5807b852d9e01a0f,female,four
5e298bc45807b852d9e01a10,female,four
5e298bdc5807b852d9e01a11,female,four
